Date,Open,High,Low,Close,Adj Close,Volume
2020-06-15,2.880000,2.880000,2.610000,2.800000,2.800000,168000
2020-06-16,3.000000,3.200000,2.980000,2.980000,2.980000,146700
2020-06-17,3.050000,3.250000,3.020000,3.090000,3.090000,214700
2020-06-18,3.130000,3.130000,3.040000,3.090000,3.090000,118600
2020-06-19,3.110000,3.300000,3.100000,3.240000,3.240000,251200
2020-06-22,3.300000,3.530000,3.150000,3.480000,3.480000,368900
2020-06-23,3.650000,4.140000,3.510000,4.000000,4.000000,734300
2020-06-24,4.100000,4.100000,3.350000,3.830000,3.830000,454600
2020-06-25,3.580000,3.830000,3.560000,3.700000,3.700000,134800
2020-06-26,3.660000,3.760000,3.450000,3.620000,3.620000,200100
2020-06-29,3.690000,3.830000,3.470000,3.520000,3.520000,270900
2020-06-30,3.580000,3.930000,3.570000,3.750000,3.750000,295500
2020-07-01,3.710000,3.830000,3.590000,3.700000,3.700000,231900
2020-07-02,3.420000,3.770000,3.420000,3.620000,3.620000,331200
2020-07-06,3.670000,3.790000,3.490000,3.570000,3.570000,235100
2020-07-07,3.770000,4.500000,3.630000,4.350000,4.350000,936200
2020-07-08,4.590000,5.320000,4.560000,5.230000,5.230000,1779300
2020-07-09,5.110000,5.470000,5.110000,5.310000,5.310000,476200
2020-07-10,5.390000,5.680000,5.320000,5.680000,5.680000,373800
2020-07-13,5.730000,5.780000,4.120000,4.480000,4.480000,1439600
2020-07-14,4.610000,5.390000,4.610000,5.080000,5.080000,617000
2020-07-15,5.150000,5.310000,4.540000,4.840000,4.840000,427800
2020-07-16,4.890000,5.080000,4.830000,4.950000,4.950000,143500
2020-07-17,4.930000,5.050000,4.850000,4.910000,4.910000,174700
2020-07-20,4.880000,4.970000,4.650000,4.800000,4.800000,186100
2020-07-21,4.800000,5.600000,4.800000,5.350000,5.350000,644600
2020-07-22,5.440000,5.760000,4.930000,5.130000,5.130000,545600
2020-07-23,5.020000,5.190000,4.920000,4.960000,4.960000,319800
2020-07-24,4.980000,4.990000,4.700000,4.960000,4.960000,205600
2020-07-27,5.000000,5.130000,4.750000,4.760000,4.760000,253000
2020-07-28,4.770000,4.960000,4.730000,4.780000,4.780000,162500
2020-07-29,4.760000,4.940000,4.760000,4.890000,4.890000,113700
2020-07-30,4.830000,5.190000,4.820000,5.090000,5.090000,175000
